State,City,Date,Regular,Mid,Premium,Diesel
Alabama,Anniston-Oxford,2023-11-20,2.898,3.225,3.572,3.922
Alabama,Auburn,2023-11-20,2.827,3.208,3.568,3.844
Alabama,Birmingham,2023-11-20,2.872,3.298,3.692,4.003
Alabama,Daphne-Fairhope-Foley,2023-11-20,2.845,3.211,3.608,3.845
Alabama,Decatur,2023-11-20,2.839,3.264,3.649,3.946
Alabama,Dothan,2023-11-20,2.865,3.184,3.575,3.996
Alabama,Florence-Muscle Shoals,2023-11-20,2.848,3.199,3.619,3.993
Alabama,Gadsden,2023-11-20,2.8,3.174,3.563,3.954
Alabama,Huntsville,2023-11-20,2.915,3.264,3.662,3.974
Alabama,Mobile,2023-11-20,2.862,3.308,3.701,3.891
Alabama,Montgomery,2023-11-20,2.887,3.325,3.715,3.993
Alabama,Russell County,2023-11-20,2.894,3.36,3.662,4.125
Alabama,Tuscaloosa,2023-11-20,2.849,3.245,3.626,3.904
Alaska,Anchorage,2023-11-20,4.015,4.291,4.498,4.407
Alaska,Fairbanks,2023-11-20,3.828,4.015,4.192,4.234
Alaska,Juneau,2023-11-20,3.985,4.075,4.174,4.587
Arizona,East Valley,2023-11-20,3.701,4.032,4.334,4.269
Arizona,Flagstaff,2023-11-20,3.824,4.08,4.292,4.644
Arizona,Glendale,2023-11-20,3.629,3.946,4.244,4.214
Arizona,Lake Havasu-Kingman,2023-11-20,3.837,4.009,4.373,4.626
Arizona,Peoria,2023-11-20,3.692,4.038,4.292,4.249
Arizona,Phoenix Proper,2023-11-20,3.613,3.935,4.221,4.236
Arizona,Phoenix-Mesa,2023-11-20,3.652,3.972,4.261,4.284
Arizona,Pima County,2023-11-20,3.278,3.602,3.874,4.213
Arizona,Prescott,2023-11-20,3.754,4.078,4.346,4.497
Arizona,Scottsdale,2023-11-20,3.839,4.171,4.456,4.564
Arizona,Sierra Vista-Douglas,2023-11-20,3.627,3.899,4.2,4.358
Arizona,Tucson,2023-11-20,3.281,3.607,3.882,4.223
Arizona,West Valley,2023-11-20,3.65,3.978,4.272,4.227
Arizona,Yuma,2023-11-20,3.638,4.041,4.239,4.772
Arkansas,Fayetteville-Springdale-Rogers,2023-11-20,2.781,3.131,3.453,4.038
Arkansas,Fort Smith (AR only),2023-11-20,2.92,3.342,3.676,4.134
Arkansas,Hot Springs,2023-11-20,2.839,3.28,3.63,3.934
Arkansas,Jonesboro,2023-11-20,2.827,3.182,3.605,4.09
Arkansas,Little Rock-North Little Rock,2023-11-20,2.887,3.279,3.685,3.912
Arkansas,Pine Bluff,2023-11-20,3.001,3.372,3.809,3.977
Arkansas,Texarkana (AR only),2023-11-20,2.803,3.111,3.541,3.757
Arkansas,West Memphis,2023-11-20,2.858,3.179,3.535,3.781
California,Bakersfield,2023-11-20,5.146,5.321,5.579,6.105
California,Chico-Paradise,2023-11-20,4.708,4.962,5.131,5.738
California,El Centro,2023-11-20,4.82,4.954,5.282,5.937
California,Fresno,2023-11-20,4.835,5.035,5.241,5.941
California,Hanford-Corcoran,2023-11-20,4.636,4.775,5.009,6.032
California,Los Angeles-Long Beach,2023-11-20,5.084,5.292,5.431,5.974
California,Madera-Chowchilla,2023-11-20,4.915,5.112,5.365,6.045
California,Merced,2023-11-20,4.959,5.209,5.374,5.992
California,Modesto,2023-11-20,4.699,4.92,5.1,5.785
California,Napa,2023-11-20,5.148,5.27,5.475,5.985
California,Oakland,2023-11-20,4.996,5.22,5.377,5.99
California,Orange County,2023-11-20,4.934,5.151,5.275,5.895
California,Redding,2023-11-20,4.614,4.723,4.888,5.511
California,Riverside,2023-11-20,4.906,5.112,5.278,5.75
California,Sacramento,2023-11-20,4.796,5.01,5.198,5.795
California,Salinas,2023-11-20,5.16,5.344,5.529,6.195
California,San Bernardino,2023-11-20,4.882,5.032,5.221,5.812
California,San Diego,2023-11-20,5.112,5.328,5.478,5.871
California,San Francisco,2023-11-20,5.125,5.312,5.495,6.056
California,San Jose,2023-11-20,4.894,5.119,5.269,5.953
California,San Luis Obispo-Atascadero-Paso Robles,2023-11-20,5.232,5.383,5.593,6.354
California,San Rafael,2023-11-20,5.082,5.257,5.479,5.966
California,Santa Barbara-Santa Maria-Lompoc,2023-11-20,5.089,5.272,5.403,6.128
California,Santa Cruz-Watsonville,2023-11-20,5.086,5.329,5.5,6.136
California,Santa Rosa,2023-11-20,5.177,5.404,5.565,5.889
California,Stockton-Lodi,2023-11-20,4.659,4.879,5.068,5.809
California,Vallejo-Fairfield,2023-11-20,4.963,5.208,5.4,5.85
California,Ventura,2023-11-20,5.179,5.38,5.535,6.096
California,Visalia-Tulare-Porterville,2023-11-20,5.009,5.193,5.372,6.045
California,Yolo,2023-11-20,4.791,5.016,5.179,5.686
California,Yuba City,2023-11-20,4.648,4.993,5.156,5.75
Colorado,Boulder-Longmont,2023-11-20,3.212,3.608,3.917,4.29
Colorado,Colorado Springs,2023-11-20,2.942,3.378,3.66,4.101
Colorado,Denver,2023-11-20,3.011,3.419,3.719,4.096
Colorado,Durango,2023-11-20,3.486,3.737,4.023,4.399
Colorado,Fort Collins-Loveland,2023-11-20,3.235,3.632,3.941,4.273
Colorado,Glenwood Springs,2023-11-20,3.833,4.136,4.376,4.306
Colorado,Grand Junction (CO only),2023-11-20,3.639,3.976,4.242,4.293
Colorado,Greeley,2023-11-20,2.869,3.23,3.534,3.926
Colorado,Pueblo,2023-11-20,3.157,3.509,3.851,4.166
Colorado,Vail,2023-11-20,3.646,3.99,4.229,4.455
Connecticut,Bridgeport,2023-11-20,3.541,4.109,4.544,4.545
Connecticut,Hartford,2023-11-20,3.311,3.934,4.335,4.441
Connecticut,Lower Fairfield County,2023-11-20,3.537,4.094,4.515,4.523
Connecticut,New Haven-Meriden,2023-11-20,3.417,3.98,4.375,4.469
Connecticut,New London-Norwich (CT only),2023-11-20,3.387,3.909,4.339,4.444
Connecticut,Windham,2023-11-20,3.402,3.865,4.29,4.462
Delaware,Dover,2023-11-20,3.175,3.626,3.939,4.049
Delaware,Milford-Seaford,2023-11-20,3.166,3.563,3.882,4.053
Delaware,Wilmington-Newark (DE only),2023-11-20,3.174,3.796,4.051,4.118
District of Columbia,Washington (DC only),2023-11-20,3.497,4.064,4.492,4.42
District of Columbia,Washington (Entire Metro Average),2023-11-20,3.297,3.791,4.146,4.263
Florida,Bradenton-Sarasota-Venice,2023-11-20,3.037,3.438,3.783,4.022
Florida,Crestview-Fort Walton Beach,2023-11-20,2.873,3.235,3.597,3.97
Florida,Daytona Beach,2023-11-20,3.013,3.427,3.745,4.052
Florida,Fort Lauderdale,2023-11-20,3.127,3.594,3.917,4.112
Florida,Fort Myers-Cape Coral,2023-11-20,3.072,3.47,3.813,4.016
Florida,Gainesville,2023-11-20,3.059,3.497,3.881,4.137
Florida,Homosassa Springs,2023-11-20,3.047,3.389,3.787,4.035
Florida,Jacksonville,2023-11-20,2.996,3.422,3.801,4.041
Florida,Lakeland-Winter Haven,2023-11-20,2.977,3.331,3.676,4.027
Florida,Melbourne-Titusville,2023-11-20,2.931,3.372,3.697,4.048
Florida,Miami,2023-11-20,3.144,3.616,3.868,4.11
Florida,Naples,2023-11-20,3.144,3.542,3.919,4.135
Florida,Ocala,2023-11-20,3.013,3.369,3.705,4.043
Florida,Orlando,2023-11-20,2.946,3.335,3.633,4.011
Florida,Panama City,2023-11-20,2.926,3.266,3.706,3.933
Florida,Pensacola,2023-11-20,2.869,3.301,3.686,3.957
Florida,Port St. Lucie,2023-11-20,3.118,3.52,3.904,4.075
Florida,Punta Gorda,2023-11-20,3.013,3.461,3.755,4.037
Florida,Sebastian-Vero Beach,2023-11-20,3.048,3.49,3.825,4.07
Florida,Sebring,2023-11-20,3.095,3.463,3.772,4.036
Florida,Tallahassee,2023-11-20,3.145,3.527,3.915,4.147
Florida,Tampa-St. Petersburg-Clearwater,2023-11-20,2.947,3.362,3.694,4.015
Florida,The Villages,2023-11-20,2.917,3.276,3.678,3.918
Florida,West Palm Beach-Boca Raton,2023-11-20,3.254,3.645,4.013,4.181
Georgia,Albany,2023-11-20,2.719,3.09,3.493,3.85
Georgia,Athens,2023-11-20,2.773,3.2,3.5,3.864
Georgia,Atlanta,2023-11-20,2.864,3.306,3.697,3.971
Georgia,Augusta-Aiken (GA only),2023-11-20,2.743,3.215,3.576,3.76
Georgia,Brunswick,2023-11-20,2.785,3.257,3.615,3.901
Georgia,Catoosa-Dade-Walker,2023-11-20,2.683,3.118,3.518,3.727
Georgia,Columbus (GA only),2023-11-20,2.748,3.15,3.514,3.868
Georgia,Dalton,2023-11-20,2.739,3.173,3.508,3.742
Georgia,Gainesville,2023-11-20,2.761,3.149,3.556,3.837
Georgia,Hinesville-Fort Stewart,2023-11-20,2.841,3.146,3.489,3.835
Georgia,Macon,2023-11-20,2.779,3.2,3.597,3.893
Georgia,Rome,2023-11-20,2.718,3.172,3.497,3.819
Georgia,Savannah,2023-11-20,2.922,3.417,3.755,3.84
Georgia,Valdosta,2023-11-20,2.779,3.179,3.531,3.704
Georgia,Warner Robins,2023-11-20,2.641,2.981,3.362,3.713
Hawaii,Hilo,2023-11-20,4.848,5.086,5.38,5.838
Hawaii,Honolulu,2023-11-20,4.597,4.841,5.115,5.614
Hawaii,Kahului,2023-11-20,4.763,4.997,5.184,5.655
Hawaii,Lihue (Kauai),2023-11-20,5.267,5.595,5.764,6.515
Hawaii,Wailuku,2023-11-20,4.763,4.997,5.184,5.655
Idaho,Boise City,2023-11-20,3.705,3.875,4.058,4.509
Idaho,Coeur D'Alene,2023-11-20,3.809,4.069,4.324,4.355
Idaho,Franklin,2023-11-20,3.575,3.879,4.123,4.362
Idaho,Idaho Falls,2023-11-20,3.65,3.861,4.06,4.568
Idaho,Lewiston,2023-11-20,3.863,4.086,4.285,4.589
Idaho,Pocatello,2023-11-20,3.594,3.815,4.052,4.5
Idaho,Twin Falls,2023-11-20,3.648,3.926,4.166,4.652
Illinois,Alexander County,2023-11-20,3.799,0.0,0.0,0.0
Illinois,Bloomington-Normal,2023-11-20,3.397,3.859,4.228,4.218
Illinois,Carbondale-Marion,2023-11-20,3.268,3.669,4.034,4.344
Illinois,Champaign-Urbana,2023-11-20,3.424,3.885,4.197,4.138
Illinois,Chicago Metro,2023-11-20,3.599,4.118,4.589,4.375
Illinois,City of Chicago,2023-11-20,3.938,4.503,4.996,4.703
Illinois,Danville,2023-11-20,3.393,3.82,4.177,4.169
Illinois,Davenport-Moline-Rock Island (IL only),2023-11-20,3.611,4.088,4.466,4.373
Illinois,Decatur,2023-11-20,3.231,3.688,4.121,4.126
Illinois,East Saint Louis,2023-11-20,3.435,3.852,4.191,4.262
Illinois,Elgin,2023-11-20,3.451,3.951,4.402,4.266
Illinois,Kankakee-Bradley,2023-11-20,3.224,3.717,4.043,4.242
Illinois,Lake County,2023-11-20,3.446,3.935,4.442,4.19
Illinois,Peoria-Pekin,2023-11-20,3.412,3.862,4.254,4.267
Illinois,Quincy,2023-11-20,3.538,3.871,4.186,4.047
Illinois,Rockford,2023-11-20,3.471,3.954,4.339,4.192
Illinois,Springfield,2023-11-20,3.436,3.89,4.28,4.177
Indiana,Bloomington,2023-11-20,3.405,3.918,4.4,4.475
Indiana,Clarksville,2023-11-20,3.219,3.635,4.026,4.313
Indiana,Columbus,2023-11-20,3.239,3.748,4.224,4.332
Indiana,Dearborn-Franklin-Ohio-Union,2023-11-20,3.204,3.644,4.123,4.38
Indiana,Elkhart,2023-11-20,3.261,3.785,4.238,4.353
Indiana,Evansville,2023-11-20,3.143,3.571,3.955,4.307
Indiana,Fort Wayne,2023-11-20,3.229,3.769,4.251,4.401
Indiana,Gary,2023-11-20,3.171,3.678,4.142,4.382
Indiana,Indianapolis,2023-11-20,3.248,3.772,4.251,4.418
Indiana,Kokomo,2023-11-20,3.342,3.896,4.35,4.415
Indiana,Lafayette,2023-11-20,3.386,3.893,4.36,4.489
Indiana,Michigan City-La Porte,2023-11-20,3.244,3.754,4.252,4.349
Indiana,Muncie,2023-11-20,3.244,3.721,4.198,4.404
Indiana,South Bend,2023-11-20,3.222,3.764,4.279,4.393
Indiana,Terre Haute,2023-11-20,3.241,3.678,4.112,4.419
Iowa,Ames,2023-11-20,3.098,3.534,3.895,4.108
Iowa,Cedar Rapids,2023-11-20,2.884,3.318,3.763,4.146
Iowa,Council Bluffs,2023-11-20,3.009,3.339,3.828,4.236
Iowa,Davenport-Moline-Rock Island (IA only),2023-11-20,2.939,3.393,3.832,4.264
Iowa,Des Moines,2023-11-20,2.871,3.3,3.63,4.164
Iowa,Dubuque,2023-11-20,3.191,3.606,4.26,4.209
Iowa,Iowa City,2023-11-20,3.044,3.582,3.868,4.259
Iowa,Sioux City (IA only),2023-11-20,2.932,3.354,3.724,4.197
Iowa,Waterloo-Cedar Falls,2023-11-20,2.929,3.314,3.805,4.184
Kansas,Kansas City (KS only),2023-11-20,2.867,3.169,3.494,4.151
Kansas,Lawrence,2023-11-20,3.002,3.352,3.786,4.203
Kansas,Manhattan,2023-11-20,2.986,3.41,3.756,3.861
Kansas,Topeka,2023-11-20,2.987,3.326,3.688,4.244
Kansas,Wichita,2023-11-20,3.028,3.308,3.557,4.128
Kentucky,Bowling Green,2023-11-20,2.961,3.447,3.756,3.966
Kentucky,Covington,2023-11-20,3.134,3.642,4.061,3.993
Kentucky,Elizabethtown-Fort Knox,2023-11-20,3.008,3.498,3.886,3.897
Kentucky,Henderson,2023-11-20,2.631,3.054,3.376,3.872
Kentucky,Hopkinsville,2023-11-20,2.891,3.329,3.677,4.099
Kentucky,Huntington-Ashland (KY only),2023-11-20,3.134,3.639,4.116,4.322
Kentucky,Lexington,2023-11-20,3.104,3.624,3.994,4.111
Kentucky,Louisville (KY only),2023-11-20,3.182,3.667,4.091,4.026
Kentucky,Owensboro,2023-11-20,2.834,3.393,3.787,4.054
Louisiana,Alexandria,2023-11-20,2.815,3.208,3.54,3.863
Louisiana,Baton Rouge,2023-11-20,2.804,3.176,3.576,3.83
Louisiana,Hammond,2023-11-20,2.85,3.279,3.636,3.856
Louisiana,Houma-Thibodaux,2023-11-20,2.891,3.322,3.671,3.907
Louisiana,Lafayette,2023-11-20,2.876,3.217,3.598,3.838
Louisiana,Lake Charles,2023-11-20,2.937,3.343,3.646,3.873
Louisiana,Monroe,2023-11-20,2.638,3.04,3.412,3.668
Louisiana,New Orleans,2023-11-20,2.927,3.489,3.864,4.021
Louisiana,Shreveport-Bossier City,2023-11-20,2.721,3.069,3.436,3.688
Maine,Bangor,2023-11-20,3.421,3.775,4.181,4.485
Maine,Lewiston-Auburn,2023-11-20,3.293,3.795,4.101,4.409
Maine,Portland,2023-11-20,3.419,3.873,4.258,4.413
Maryland,Annapolis,2023-11-20,3.276,3.836,4.128,4.114
Maryland,Baltimore,2023-11-20,3.283,3.785,4.09,4.103
Maryland,Bowie-St. Charles,2023-11-20,3.272,3.987,4.241,4.244
Maryland,Cumberland (MD Only),2023-11-20,3.334,3.63,3.96,4.219
Maryland,Frederick,2023-11-20,3.223,3.627,3.953,4.106
Maryland,Hagerstown,2023-11-20,3.172,3.524,3.902,4.242
Maryland,Salisbury,2023-11-20,3.277,3.696,4.021,4.063
Maryland,Washington (MD only),2023-11-20,3.332,3.883,4.222,4.269
Massachusetts,Barnstable-Yarmouth,2023-11-20,3.531,4.091,4.435,4.448
Massachusetts,Boston (MA only),2023-11-20,3.445,4.007,4.372,4.418
Massachusetts,Cambridge-Newton-Framingham,2023-11-20,3.481,4.043,4.364,4.475
Massachusetts,Pittsfield,2023-11-20,3.48,4.116,4.41,4.383
Massachusetts,Seekonk,2023-11-20,3.251,3.788,4.147,4.274
Massachusetts,Springfield,2023-11-20,3.301,3.887,4.221,4.327
Massachusetts,Worcester,2023-11-20,3.408,4.016,4.364,4.311
Michigan,Ann Arbor,2023-11-20,3.33,3.856,4.305,4.332
Michigan,Benton Harbor,2023-11-20,3.207,3.731,4.185,4.31
Michigan,Flint,2023-11-20,3.228,3.72,4.233,4.261
Michigan,Grand Rapids-Muskegon-Holland,2023-11-20,3.176,3.676,4.158,4.257
Michigan,Jackson,2023-11-20,3.356,3.936,4.417,4.322
Michigan,Lansing-East Lansing,2023-11-20,3.245,3.761,4.247,4.373
Michigan,Marquette,2023-11-20,3.386,3.887,4.295,4.347
Michigan,Metro Detroit,2023-11-20,3.305,3.863,4.381,4.336
Michigan,Saginaw-Bay City-Midland,2023-11-20,3.257,3.714,4.249,4.266
Michigan,Traverse City,2023-11-20,3.255,3.75,4.248,4.262
Minnesota,Duluth-Superior (MN only),2023-11-20,3.051,3.408,3.798,4.47
Minnesota,Houston County,2023-11-20,3.132,0.0,3.953,4.156
Minnesota,Mankato,2023-11-20,3.156,3.415,3.896,4.089
Minnesota,Minneapolis-St. Paul (MN only),2023-11-20,3.202,3.573,3.948,4.442
Minnesota,Moorhead,2023-11-20,3.181,3.406,3.826,4.306
Minnesota,Polk County,2023-11-20,3.178,3.389,3.594,4.168
Minnesota,Rochester,2023-11-20,3.13,3.45,3.92,4.393
Minnesota,St. Cloud,2023-11-20,2.993,3.3,3.787,4.309
Mississippi,Biloxi-Gulfport-Pascagoula,2023-11-20,2.664,3.005,3.386,3.704
Mississippi,Hattiesburg,2023-11-20,2.853,3.273,3.627,3.863
Mississippi,Jackson,2023-11-20,2.741,3.136,3.488,3.795
Mississippi,South Haven - Olive Branch,2023-11-20,2.76,3.231,3.651,3.846
Missouri,Cape Girardeau,2023-11-20,2.986,3.251,3.619,4.105
Missouri,Columbia,2023-11-20,2.99,3.277,3.551,3.986
Missouri,Jefferson City,2023-11-20,3.081,3.396,3.706,4.09
Missouri,Joplin,2023-11-20,2.666,3.054,3.455,3.946
Missouri,Kansas City (MO only),2023-11-20,2.829,3.118,3.418,4.142
Missouri,Springfield,2023-11-20,2.914,3.231,3.584,4.12
Missouri,St. Joseph,2023-11-20,2.794,3.056,3.471,3.956
Missouri,St. Louis (MO only),2023-11-20,2.995,3.323,3.633,3.917
Montana,Billings,2023-11-20,3.266,3.534,3.9,3.929
Montana,Great Falls,2023-11-20,3.265,3.58,3.835,4.003
Montana,Missoula,2023-11-20,3.308,3.571,3.794,4.003
Nebraska,Columbus,2023-11-20,2.956,3.179,3.721,4.432
Nebraska,Grand Island,2023-11-20,3.012,3.385,3.673,4.115
Nebraska,Kearney,2023-11-20,3.435,3.541,4.086,4.247
Nebraska,Lincoln,2023-11-20,3.289,3.399,4.082,4.346
Nebraska,Norfolk,2023-11-20,3.124,3.582,4.058,4.177
Nebraska,North Platte,2023-11-20,3.465,3.569,3.928,3.968
Nebraska,Omaha (NE only),2023-11-20,2.892,3.219,3.665,4.196
Nevada,Las Vegas (NV only),2023-11-20,4.235,4.527,4.779,4.755
Nevada,Reno,2023-11-20,4.693,4.917,5.122,4.826
New Hampshire,Manchester,2023-11-20,3.303,3.878,4.268,4.307
New Hampshire,Portsmouth-Rochester (NH only),2023-11-20,3.167,3.633,4.059,4.222
New Jersey,Atlantic City,2023-11-20,3.268,3.799,3.99,4.314
New Jersey,Bergen-Passaic,2023-11-20,3.291,3.938,4.256,4.407
New Jersey,Cape May,2023-11-20,3.409,3.821,4.218,4.463
New Jersey,Middlesex-Somerset-Hunterdon,2023-11-20,3.3,3.884,4.192,4.322
New Jersey,Monmouth-Ocean,2023-11-20,3.317,3.925,4.165,4.382
New Jersey,Newark,2023-11-20,3.335,4.025,4.332,4.427
New Jersey,Parsippany-Troy Hills,2023-11-20,3.282,3.947,4.229,4.372
New Jersey,Philadelphia (NJ Only),2023-11-20,3.211,3.8,4.005,4.271
New Jersey,Trenton,2023-11-20,3.3,3.91,4.198,4.374
New Jersey,Vineland,2023-11-20,3.233,3.666,3.934,4.306
New Jersey,Warren County,2023-11-20,3.225,3.766,4.092,4.216
New Mexico,Albuquerque,2023-11-20,2.902,3.309,3.618,3.969
New Mexico,Farmington,2023-11-20,3.853,4.16,4.426,4.621
New Mexico,Las Cruces,2023-11-20,2.839,3.235,3.51,3.989
New Mexico,Santa Fe,2023-11-20,2.984,3.421,3.653,4.299
New York,Albany-Schenectady-Troy,2023-11-20,3.55,4.12,4.541,4.493
New York,Batavia,2023-11-20,3.635,4.101,4.481,4.701
New York,Binghamton,2023-11-20,3.695,4.118,4.508,4.641
New York,Buffalo-Niagara Falls,2023-11-20,3.677,4.101,4.463,4.649
New York,Dutchess-Putnam County,2023-11-20,3.584,4.197,4.557,4.572
New York,Elmira,2023-11-20,3.362,3.768,4.133,4.486
New York,Glens Falls,2023-11-20,3.681,4.156,4.582,4.466
New York,Ithaca,2023-11-20,3.649,4.07,4.509,4.662
New York,Kingston,2023-11-20,3.451,4.068,4.401,4.458
New York,Nassau-Suffolk,2023-11-20,3.467,4.033,4.349,4.588
New York,New York,2023-11-20,3.66,4.098,4.518,4.861
New York,Rochester,2023-11-20,3.686,4.137,4.491,4.666
New York,Syracuse,2023-11-20,3.613,3.99,4.44,4.573
New York,Utica-Rome,2023-11-20,3.644,4.119,4.541,4.576
New York,Watertown-Fort Drum,2023-11-20,3.602,4.046,4.466,4.571
New York,White Plains,2023-11-20,3.685,4.331,4.683,4.696
North Carolina,Asheville,2023-11-20,3.272,3.689,4.096,4.236
North Carolina,Burlington,2023-11-20,3.001,3.419,3.787,4.078
North Carolina,Charlotte-Gastonia-Rock Hill (NC only),2023-11-20,3.008,3.431,3.804,4.121
North Carolina,Durham-Chapel Hill,2023-11-20,3.139,3.544,3.909,4.194
North Carolina,Fayetteville,2023-11-20,2.967,3.346,3.769,3.93
North Carolina,Goldsboro,2023-11-20,2.972,3.482,3.873,4.129
North Carolina,Greensboro,2023-11-20,3.005,3.447,3.815,4.113
North Carolina,Hickory-Lenoir-Morganton,2023-11-20,2.975,3.392,3.806,4.084
North Carolina,Jacksonville,2023-11-20,2.982,3.369,3.768,4.008
North Carolina,New Bern,2023-11-20,2.933,3.329,3.723,4.054
North Carolina,Norfolk-Virginia Beach-Newport News,2023-11-20,3.086,3.431,3.945,4.041
North Carolina,Raleigh,2023-11-20,3.009,3.425,3.778,4.121
North Carolina,Rocky Mount,2023-11-20,2.962,3.377,3.714,4.047
North Carolina,Wilmington,2023-11-20,3.01,3.44,3.828,4.044
North Carolina,Winston-Salem,2023-11-20,2.994,3.457,3.837,4.075
North Dakota,Bismarck,2023-11-20,3.28,3.443,4.013,4.192
North Dakota,Fargo-Moorhead (ND only),2023-11-20,3.09,3.329,3.809,4.34
North Dakota,Grand Forks (ND only),2023-11-20,3.083,3.299,3.641,4.327
North Dakota,Minot,2023-11-20,3.22,3.62,3.964,4.256
Ohio,Akron,2023-11-20,3.077,3.516,3.953,4.29
Ohio,Belmont County,2023-11-20,3.012,3.479,3.93,4.21
Ohio,Canton-Massillon,2023-11-20,3.007,3.436,3.9,4.283
Ohio,Cincinnati (OH only),2023-11-20,3.157,3.655,4.147,4.396
Ohio,Cleveland-Lorain-Elyria,2023-11-20,3.118,3.633,4.081,4.366
Ohio,Columbus,2023-11-20,3.156,3.623,4.055,4.39
Ohio,Dayton,2023-11-20,3.096,3.623,4.099,4.358
Ohio,Lawerence County,2023-11-20,3.206,3.719,4.213,4.386
Ohio,Lima,2023-11-20,3.079,3.597,4.068,4.212
Ohio,Mansfield,2023-11-20,3.096,3.568,4.02,4.354
Ohio,Springfield,2023-11-20,3.107,3.584,4.072,4.349
Ohio,Steubenville-Weirton (OH only),2023-11-20,3.088,3.524,3.937,4.316
Ohio,Toledo,2023-11-20,3.119,3.573,4.034,4.313
Ohio,Youngstown-Warren,2023-11-20,3.061,3.537,3.989,4.274
Oklahoma,Lawton,2023-11-20,2.703,3.073,3.403,3.884
Oklahoma,Le Flore-Sequoyah,2023-11-20,3.009,3.281,3.611,4.132
Oklahoma,Oklahoma City,2023-11-20,2.82,3.211,3.45,3.956
Oklahoma,Tulsa,2023-11-20,2.692,2.908,3.178,3.95
Oregon,Albany,2023-11-20,3.812,4.019,4.293,4.295
Oregon,Bend,2023-11-20,4.047,4.239,4.486,4.678
Oregon,Corvallis,2023-11-20,3.79,4.011,4.194,4.247
Oregon,Eugene-Springfield,2023-11-20,3.866,4.073,4.301,4.543
Oregon,Grants Pass,2023-11-20,4.154,4.322,4.401,4.692
Oregon,Medford-Ashland,2023-11-20,4.051,4.223,4.515,4.676
Oregon,Pendleton,2023-11-20,3.836,4.051,4.33,4.378
Oregon,Portland-Vancouver (OR only),2023-11-20,4.343,4.553,4.765,4.924
Oregon,Salem,2023-11-20,3.882,4.094,4.327,4.735
Pennsylvania,Allentown-Bethlehem-Easton,2023-11-20,3.386,3.824,4.121,4.67
Pennsylvania,Altoona,2023-11-20,3.628,3.797,4.003,4.679
Pennsylvania,Bloomsburg-Berwick,2023-11-20,3.463,3.757,4.032,4.535
Pennsylvania,Chambersburg-Waynesboro,2023-11-20,3.594,3.893,4.105,4.602
Pennsylvania,East Stroudsburg,2023-11-20,3.465,3.968,4.267,4.77
Pennsylvania,Erie,2023-11-20,3.621,3.899,4.22,4.717
Pennsylvania,Gettysburg,2023-11-20,3.695,3.965,4.302,4.652
Pennsylvania,Harrisburg,2023-11-20,3.588,3.872,4.161,4.694
Pennsylvania,Johnstown,2023-11-20,3.716,3.876,3.969,4.71
Pennsylvania,Lancaster,2023-11-20,3.464,3.804,4.052,4.628
Pennsylvania,Lebanon,2023-11-20,3.545,3.925,4.276,4.682
Pennsylvania,Mercer County,2023-11-20,3.717,3.99,4.296,4.728
Pennsylvania,Philadelphia (PA only),2023-11-20,3.565,4.052,4.307,4.668
Pennsylvania,Pittsburgh,2023-11-20,3.685,4.021,4.327,4.706
Pennsylvania,Reading,2023-11-20,3.566,3.929,4.198,4.595
Pennsylvania,Scranton--Wilkes-Barre--Hazleton,2023-11-20,3.586,3.943,4.299,4.749
Pennsylvania,State College,2023-11-20,3.585,3.778,3.904,4.739
Pennsylvania,Williamsport,2023-11-20,3.495,3.791,4.04,4.685
Pennsylvania,York,2023-11-20,3.67,3.966,4.254,4.699
Rhode Island,Providence-Fall River-Warwick (RI only),2023-11-20,3.345,3.963,4.313,4.417
South Carolina,Aiken-Edgfield County,2023-11-20,2.852,3.303,3.667,3.858
South Carolina,Charleston-North Charleston,2023-11-20,2.947,3.34,3.713,4.043
South Carolina,Columbia,2023-11-20,2.924,3.353,3.73,3.916
South Carolina,Florence,2023-11-20,2.912,3.295,3.708,4.005
South Carolina,Greenville,2023-11-20,2.912,3.254,3.56,3.946
South Carolina,Hilton Head-Bluffton,2023-11-20,2.975,3.36,3.765,3.997
South Carolina,Myrtle Beach,2023-11-20,2.918,3.309,3.702,3.944
South Carolina,Rock Hill,2023-11-20,2.846,3.244,3.586,3.944
South Carolina,Spartanburg,2023-11-20,2.913,3.294,3.6,3.996
South Carolina,Sumter,2023-11-20,2.929,3.343,3.742,3.849
South Dakota,North Sioux City,2023-11-20,3.112,3.136,3.984,3.783
South Dakota,Rapid City,2023-11-20,3.392,3.479,3.937,4.175
South Dakota,Sioux Falls,2023-11-20,3.062,3.402,3.932,4.227
Tennessee,Chattanooga (TN only),2023-11-20,2.753,3.094,3.415,3.785
Tennessee,Clarksville-Hopkinsville (TN only),2023-11-20,2.872,3.181,3.51,3.96
Tennessee,Cleveland,2023-11-20,2.907,3.329,3.7,4.025
Tennessee,Jackson,2023-11-20,2.973,3.441,3.756,4.166
Tennessee,Johnson City,2023-11-20,2.931,3.276,3.68,4.071
Tennessee,Kingsport-Bristol,2023-11-20,2.9,3.277,3.638,4.083
Tennessee,Knoxville,2023-11-20,2.934,3.305,3.678,3.949
Tennessee,Memphis (TN only),2023-11-20,2.964,3.411,3.813,4.172
Tennessee,Morristown,2023-11-20,3.003,3.392,3.771,3.999
Tennessee,Nashville,2023-11-20,2.991,3.413,3.792,4.028
